no,requested_username,found_username,status,platform_in_db,also_on_platform,display_name,category,profile_url,verified_roster,verified_measured,followers_roster,followers_measured,following,total_posts_account,engagement_rate_roster_pct,engagement_rate_post_mean_frac,avg_likes_stored,avg_likes_excl_hidden,posts_hidden_likes,avg_comments,avg_views,avg_shares,avg_saves,post_records,posts_analyzed,latest_content,oldest_content,audience_data,gender_female,gender_male,gender_unknown,age_groups,geo_rows,interest_rows,rate_card,reach,profile_snapshot_date,directory_last_refreshed,analytics_last_updated,sync_log_rows,freshness,issue_count,completeness_score
1,@instagram,instagram,Found,instagram,tiktok,Instagram,Lifestyle,https://www.instagram.com/instagram,verified,False,685896635,685896635,274,8556,0.07,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,UNAVAILABLE,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,0,0,UNAVAILABLE,UNAVAILABLE,2026-08-14,2026-08-14,UNAVAILABLE,0,Aging,7,54
2,@cristiano,cristiano,Found,instagram,NONE,Cristiano Ronaldo,Fitness,https://www.instagram.com/cristiano,verified,False,679264838,679697682,634,4122,2.21,0.01806,13766592,13766592,0,225625,78091457,UNAVAILABLE,UNAVAILABLE,10,10,2026-08-16,2026-07-20,Gender only,4,18,78,NO DATA,7,9,UNAVAILABLE,UNAVAILABLE,2026-08-24,2026-08-14,2026-08-16,0,Aging,8,91
3,@leomessi,leomessi,Found,instagram,NONE,Leo Messi,Animal Lovers,https://www.instagram.com/leomessi,verified,False,516185245,516283723,369,1534,2.66,UNAVAILABLE,14487096,14487096,0,511404,43222221,UNAVAILABLE,UNAVAILABLE,10,10,2026-08-12,2025-11-10,Gender only,5,20,75,NO DATA,4,11,UNAVAILABLE,UNAVAILABLE,2026-08-24,2026-08-14,2026-08-12,0,Aging,9,95
4,@raffinagita1717,raffinagita1717,Found,instagram,NONE,Raffi Ahmad and Nagita Slavina,NULL,https://www.instagram.com/raffinagita1717,verified,False,75052814,75033211,7625,30422,0.52,0.000109,465860,465860,0,8730,474870,UNAVAILABLE,UNAVAILABLE,10,10,2026-08-20,2024-10-22,Gender only,15,15,70,NO DATA,4,8,UNAVAILABLE,UNAVAILABLE,2026-08-24,2026-08-14,2026-08-20,0,Aging,8,91
5,@lunamaya,lunamaya,Found,instagram,NONE,Luna Maya,Beauty,https://www.instagram.com/lunamaya,verified,False,37961844,37950413,2668,6102,0.03,0.00076,20779,20779,0,408,317720,UNAVAILABLE,UNAVAILABLE,10,10,2026-08-20,2026-06-05,Gender only,17,16,67,NO DATA,12,14,UNAVAILABLE,UNAVAILABLE,2026-08-24,2026-08-14,2026-08-20,0,Aging,8,95
6,@ibnuwardani,ibnuwardani,"Found - TikTok only, no Instagram row",tiktok,NONE,Ibnu Wardani,NULL,https://tiktok.com/@ibnuwardani,NULL,False,26200000,35000000,505,2483,NULL,0.003257,154211,154211,0,24609,2762680,4144,6273,10,10,2026-08-20,2026-02-19,Gender only,15,14,71,NO DATA,5,9,UNAVAILABLE,UNAVAILABLE,2026-08-24,2024-05-09,2026-08-20,0,Aging,9,82
7,@iben_ma,iben_ma,Found,instagram,tiktok,Benjamin Master Adhisurya,Entertainment,https://www.instagram.com/iben_ma,verified,False,3997609,4007007,3927,1597,1.46,0.020112,60427,60427,0,599,1441758,UNAVAILABLE,UNAVAILABLE,10,10,2026-08-19,2026-08-12,Gender only,15,23,62,NO DATA,9,11,UNAVAILABLE,UNAVAILABLE,2026-08-24,2026-08-14,2026-08-19,0,Aging,8,95
8,@inul.d,inul.d,Found,instagram,tiktok,Inul Daratista,NULL,https://www.instagram.com/inul.d,verified,False,20046665,20042625,3222,16571,0.01,0.000262,3672,3672,0,84,145224,UNAVAILABLE,UNAVAILABLE,10,10,2026-08-19,2026-08-17,Gender only,23,17,60,NO DATA,14,9,UNAVAILABLE,UNAVAILABLE,2026-08-24,2026-08-14,2026-08-20,0,Aging,8,91
9,@bbrightvc,bbrightvc,Found,instagram,NONE,NULL,Fashion,https://instagram.com/bbrightvc,NULL,NULL,18018065,NULL,NULL,NULL,NULL,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,0,0,UNAVAILABLE,UNAVAILABLE,NO DATA,NO DATA,NO DATA,NO DATA,NO DATA,0,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,2026-08-14,UNAVAILABLE,0,Unknown,6,20
10,@pevpearce,pevpearce,Found,instagram,NONE,Pevita Pearce,Lifestyle,https://www.instagram.com/pevpearce,verified,False,17452714,17448881,523,1615,0.28,0.004577,68276,68276,0,501,577656,UNAVAILABLE,UNAVAILABLE,10,10,2026-08-20,2026-07-04,Gender only,11,28,61,NO DATA,14,13,UNAVAILABLE,UNAVAILABLE,2026-08-24,2026-08-14,2026-08-20,0,Aging,8,91
